month,work_related,topic,share_of_messages
2025-05-01,0,Technical help,0.035
2025-05-01,0,Writing,0.207
2025-05-01,1,Multimedia,0.075
2025-05-01,1,Other/Unknown,0.032
2025-05-01,1,Practical Guidance,0.252
2025-05-01,1,Seeking information,0.115
2025-05-01,1,Self-expression,0.015
2025-05-01,1,Technical help,0.130
2025-05-01,1,Writing,0.382
2025-06-01,0,Multimedia,0.068
2025-06-01,0,Other/Unknown,0.058
2025-06-01,0,Practical Guidance,0.299
2025-06-01,0,Seeking information,0.217
2025-06-01,0,Self-expression,0.128
2025-06-01,0,Technical help,0.032
2025-06-01,0,Writing,0.198
2025-06-01,1,Multimedia,0.076
2025-06-01,1,Other/Unknown,0.035
2025-06-01,1,Practical Guidance,0.250
2025-06-01,1,Seeking information,0.116
2025-06-01,1,Self-expression,0.017
2025-06-01,1,Technical help,0.123
2025-06-01,1,Writing,0.383
2025-07-01,0,Multimedia,0.065
2025-07-01,0,Other/Unknown,0.061
2025-07-01,0,Practical Guidance,0.293
2025-07-01,0,Seeking information,0.223
2025-07-01,0,Self-expression,0.138
2025-07-01,0,Technical help,0.028
2025-07-01,0,Writing,0.191
2025-07-01,1,Multimedia,0.073
2025-07-01,1,Other/Unknown,0.036
2025-07-01,1,Practical Guidance,0.243
2025-07-01,1,Seeking information,0.122
2025-07-01,1,Self-expression,0.020
2025-07-01,1,Technical help,0.126
2025-07-01,1,Writing,0.380
2025-08-01,0,Multimedia,0.057
2025-08-01,0,Other/Unknown,0.058
2025-08-01,0,Practical Guidance,0.303
2025-08-01,0,Seeking information,0.220
2025-08-01,0,Self-expression,0.130
2025-08-01,0,Technical help,0.029
2025-08-01,0,Writing,0.203
2025-08-01,1,Multimedia,0.084
2025-08-01,1,Other/Unknown,0.037
2025-08-01,1,Practical Guidance,0.244
2025-08-01,1,Seeking information,0.115
2025-08-01,1,Self-expression,0.019
2025-08-01,1,Technical help,0.118
2025-08-01,1,Writing,0.383
2025-09-01,0,Multimedia,0.057
