month,country,topic,age_group,share_of_messages
2024-11-01,AR,Seeking information,55-64,0.030
2024-11-01,AR,Seeking information,65+,0.004
2024-11-01,AR,Technical help,18-24,0.337
2024-11-01,AR,Technical help,25-34,0.317
2024-11-01,AR,Technical help,35-44,0.156
2024-11-01,AR,Technical help,45-54,0.045
2024-11-01,AR,Technical help,55-64,0.014
2024-11-01,AR,Technical help,65+,0.130
2024-11-01,AR,Writing,18-24,0.344
2024-11-01,AR,Writing,25-34,0.347
2024-11-01,AR,Writing,35-44,0.166
2024-11-01,AR,Writing,45-54,0.112
2024-11-01,AR,Writing,55-64,0.007
2024-11-01,AR,Writing,65+,0.023
2024-11-01,AT,Practical Guidance,18-24,0.340
2024-11-01,AT,Practical Guidance,25-34,0.393
2024-11-01,AT,Practical Guidance,35-44,0.180
2024-11-01,AT,Practical Guidance,45-54,0.069
2024-11-01,AT,Practical Guidance,55-64,0.000
2024-11-01,AT,Practical Guidance,65+,0.017
2024-11-01,AT,Seeking information,18-24,0.200
2024-11-01,AT,Seeking information,25-34,0.460
2024-11-01,AT,Seeking information,35-44,0.130
2024-11-01,AT,Seeking information,45-54,0.105
2024-11-01,AT,Seeking information,55-64,0.053
2024-11-01,AT,Seeking information,65+,0.052
2024-11-01,AT,Writing,18-24,0.160
2024-11-01,AT,Writing,25-34,0.352
2024-11-01,AT,Writing,35-44,0.343
2024-11-01,AT,Writing,45-54,0.093
2024-11-01,AT,Writing,55-64,0.053
2024-11-01,AT,Writing,65+,0.000
2024-11-01,AU,Practical Guidance,18-24,0.297
2024-11-01,AU,Practical Guidance,25-34,0.411
2024-11-01,AU,Practical Guidance,35-44,0.186
2024-11-01,AU,Practical Guidance,45-54,0.068
2024-11-01,AU,Practical Guidance,55-64,0.031
2024-11-01,AU,Practical Guidance,65+,0.008
2024-11-01,AU,Seeking information,18-24,0.267
2024-11-01,AU,Seeking information,25-34,0.371
2024-11-01,AU,Seeking information,35-44,0.215
2024-11-01,AU,Seeking information,45-54,0.071
2024-11-01,AU,Seeking information,55-64,0.038
2024-11-01,AU,Seeking information,65+,0.038
2024-11-01,AU,Technical help,18-24,0.321
2024-11-01,AU,Technical help,25-34,0.356
2024-11-01,AU,Technical help,35-44,0.176
2024-11-01,AU,Technical help,45-54,0.095
2024-11-01,AU,Technical help,55-64,0.024
2024-11-01,AU,Technical help,65+,0.028
2024-11-01,AU,Writing,18-24,0.208
2024-11-01,AU,Writing,25-34,0.427
2024-11-01,AU,Writing,35-44,0.206
2024-11-01,AU,Writing,45-54,0.116
2024-11-01,AU,Writing,55-64,0.030
2024-11-01,AU,Writing,65+,0.012
2024-11-01,AZ,Self-expression,18-24,0.612
2024-11-01,AZ,Self-expression,25-34,0.108
2024-11-01,AZ,Self-expression,35-44,0.096
2024-11-01,AZ,Self-expression,45-54,0.091
2024-11-01,AZ,Self-expression,55-64,0.019
2024-11-01,AZ,Self-expression,65+,0.074
2024-11-01,BD,Practical Guidance,18-24,0.511
2024-11-01,BD,Practical Guidance,25-34,0.393
2024-11-01,BD,Practical Guidance,35-44,0.069
2024-11-01,BD,Practical Guidance,45-54,0.026
2024-11-01,BD,Practical Guidance,55-64,0.001
2024-11-01,BD,Practical Guidance,65+,0.000
2024-11-01,BD,Seeking information,18-24,0.644
2024-11-01,BD,Seeking information,25-34,0.322
2024-11-01,BD,Seeking information,35-44,0.022
2024-11-01,BD,Seeking information,45-54,0.011
2024-11-01,BD,Seeking information,55-64,0.002
2024-11-01,BD,Seeking information,65+,0.000
2024-11-01,BD,Self-expression,18-24,0.599
2024-11-01,BD,Self-expression,25-34,0.268
2024-11-01,BD,Self-expression,35-44,0.044
2024-11-01,BD,Self-expression,45-54,0.055
2024-11-01,BD,Self-expression,55-64,0.000
2024-11-01,BD,Self-expression,65+,0.034
2024-11-01,BD,Technical help,18-24,0.444
2024-11-01,BD,Technical help,25-34,0.348
2024-11-01,BD,Technical help,35-44,0.151
2024-11-01,BD,Technical help,45-54,0.014
2024-11-01,BD,Technical help,55-64,0.042
2024-11-01,BD,Technical help,65+,0.001
2024-11-01,BD,Writing,18-24,0.431
2024-11-01,BD,Writing,25-34,0.406
2024-11-01,BD,Writing,35-44,0.091
2024-11-01,BD,Writing,45-54,0.029
2024-11-01,BD,Writing,55-64,0.021
2024-11-01,BD,Writing,65+,0.022
2024-11-01,BE,Practical Guidance,18-24,0.425
2024-11-01,BE,Practical Guidance,25-34,0.344
2024-11-01,BE,Practical Guidance,35-44,0.129
2024-11-01,BE,Practical Guidance,45-54,0.096
2024-11-01,BE,Practical Guidance,55-64,0.005
2024-11-01,BE,Practical Guidance,65+,0.000
2024-11-01,BE,Seeking information,18-24,0.400
2024-11-01,BE,Seeking information,25-34,0.258
2024-11-01,BE,Seeking information,35-44,0.170
2024-11-01,BE,Seeking information,45-54,0.144
2024-11-01,BE,Seeking information,55-64,0.028
2024-11-01,BE,Seeking information,65+,0.000
2024-11-01,BE,Writing,18-24,0.359
2024-11-01,BE,Writing,25-34,0.350
2024-11-01,BE,Writing,35-44,0.147
2024-11-01,BE,Writing,45-54,0.115
2024-11-01,BE,Writing,55-64,0.029
2024-11-01,BE,Writing,65+,0.000
2024-11-01,BO,Practical Guidance,18-24,0.513
2024-11-01,BO,Practical Guidance,25-34,0.324
2024-11-01,BO,Practical Guidance,35-44,0.073
2024-11-01,BO,Practical Guidance,45-54,0.031
2024-11-01,BO,Practical Guidance,55-64,0.047
2024-11-01,BO,Practical Guidance,65+,0.013
2024-11-01,BO,Seeking information,18-24,0.487
2024-11-01,BO,Seeking information,25-34,0.318
2024-11-01,BO,Seeking information,35-44,0.113
2024-11-01,BO,Seeking information,45-54,0.005
2024-11-01,BO,Seeking information,55-64,0.026
2024-11-01,BO,Seeking information,65+,0.050
2024-11-01,BO,Writing,18-24,0.399
2024-11-01,BO,Writing,25-34,0.339
2024-11-01,BO,Writing,35-44,0.104
2024-11-01,BO,Writing,45-54,0.094
2024-11-01,BO,Writing,55-64,0.002
2024-11-01,BO,Writing,65+,0.062
2024-11-01,BR,Multimedia,18-24,0.252
2024-11-01,BR,Multimedia,25-34,0.363
2024-11-01,BR,Multimedia,35-44,0.216
2024-11-01,BR,Multimedia,45-54,0.099
2024-11-01,BR,Multimedia,55-64,0.057
2024-11-01,BR,Multimedia,65+,0.014
2024-11-01,BR,Other/Unknown,18-24,0.365
2024-11-01,BR,Other/Unknown,25-34,0.373
2024-11-01,BR,Other/Unknown,35-44,0.152
2024-11-01,BR,Other/Unknown,45-54,0.058
2024-11-01,BR,Other/Unknown,55-64,0.033
2024-11-01,BR,Other/Unknown,65+,0.020
2024-11-01,BR,Practical Guidance,18-24,0.361
2024-11-01,BR,Practical Guidance,25-34,0.360
2024-11-01,BR,Practical Guidance,35-44,0.163
2024-11-01,BR,Practical Guidance,45-54,0.075
2024-11-01,BR,Practical Guidance,55-64,0.026
2024-11-01,BR,Practical Guidance,65+,0.015
2024-11-01,BR,Seeking information,18-24,0.345
2024-11-01,BR,Seeking information,25-34,0.346
2024-11-01,BR,Seeking information,35-44,0.175
2024-11-01,BR,Seeking information,45-54,0.078
2024-11-01,BR,Seeking information,55-64,0.042
2024-11-01,BR,Seeking information,65+,0.014
2024-11-01,BR,Self-expression,18-24,0.336
2024-11-01,BR,Self-expression,25-34,0.386
2024-11-01,BR,Self-expression,35-44,0.148
2024-11-01,BR,Self-expression,45-54,0.065
2024-11-01,BR,Self-expression,55-64,0.047
2024-11-01,BR,Self-expression,65+,0.018
2024-11-01,BR,Technical help,18-24,0.356
2024-11-01,BR,Technical help,25-34,0.358
2024-11-01,BR,Technical help,35-44,0.178
2024-11-01,BR,Technical help,45-54,0.081
2024-11-01,BR,Technical help,55-64,0.023
2024-11-01,BR,Technical help,65+,0.004
2024-11-01,BR,Writing,18-24,0.274
2024-11-01,BR,Writing,25-34,0.386
2024-11-01,BR,Writing,35-44,0.215
2024-11-01,BR,Writing,45-54,0.078
2024-11-01,BR,Writing,55-64,0.035
2024-11-01,BR,Writing,65+,0.012
2024-11-01,CA,Multimedia,18-24,0.206
2024-11-01,CA,Multimedia,25-34,0.410
2024-11-01,CA,Multimedia,35-44,0.182
2024-11-01,CA,Multimedia,45-54,0.119
2024-11-01,CA,Multimedia,55-64,0.082
2024-11-01,CA,Multimedia,65+,0.001
2024-11-01,CA,Other/Unknown,18-24,0.273
2024-11-01,CA,Other/Unknown,25-34,0.353
2024-11-01,CA,Other/Unknown,35-44,0.163
2024-11-01,CA,Other/Unknown,45-54,0.160
2024-11-01,CA,Other/Unknown,55-64,0.035
2024-11-01,CA,Other/Unknown,65+,0.015
2024-11-01,CA,Practical Guidance,18-24,0.379
2024-11-01,CA,Practical Guidance,25-34,0.361
2024-11-01,CA,Practical Guidance,35-44,0.155
2024-11-01,CA,Practical Guidance,45-54,0.071
2024-11-01,CA,Practical Guidance,55-64,0.023
2024-11-01,CA,Practical Guidance,65+,0.011
2024-11-01,CA,Seeking information,18-24,0.294
2024-11-01,CA,Seeking information,25-34,0.389
2024-11-01,CA,Seeking information,35-44,0.193
2024-11-01,CA,Seeking information,45-54,0.059
2024-11-01,CA,Seeking information,55-64,0.049
2024-11-01,CA,Seeking information,65+,0.015
2024-11-01,CA,Technical help,18-24,0.416
2024-11-01,CA,Technical help,25-34,0.357
2024-11-01,CA,Technical help,35-44,0.107
2024-11-01,CA,Technical help,45-54,0.076
2024-11-01,CA,Technical help,55-64,0.013
2024-11-01,CA,Technical help,65+,0.031
2024-11-01,CA,Writing,18-24,0.274
2024-11-01,CA,Writing,25-34,0.391
2024-11-01,CA,Writing,35-44,0.187
2024-11-01,CA,Writing,45-54,0.098
2024-11-01,CA,Writing,55-64,0.035
2024-11-01,CA,Writing,65+,0.015
2024-11-01,CH,Practical Guidance,18-24,0.275
2024-11-01,CH,Practical Guidance,25-34,0.404
2024-11-01,CH,Practical Guidance,35-44,0.189
2024-11-01,CH,Practical Guidance,45-54,0.030
2024-11-01,CH,Practical Guidance,55-64,0.071
2024-11-01,CH,Practical Guidance,65+,0.032
2024-11-01,CH,Seeking information,18-24,0.249
2024-11-01,CH,Seeking information,25-34,0.285
2024-11-01,CH,Seeking information,35-44,0.242
2024-11-01,CH,Seeking information,45-54,0.129
2024-11-01,CH,Seeking information,55-64,0.034
2024-11-01,CH,Seeking information,65+,0.061
2024-11-01,CH,Writing,18-24,0.255
2024-11-01,CH,Writing,25-34,0.378
2024-11-01,CH,Writing,35-44,0.188
2024-11-01,CH,Writing,45-54,0.104
2024-11-01,CH,Writing,55-64,0.063
2024-11-01,CH,Writing,65+,0.011
2024-11-01,CL,Practical Guidance,18-24,0.322
2024-11-01,CL,Practical Guidance,25-34,0.306
2024-11-01,CL,Practical Guidance,35-44,0.214
2024-11-01,CL,Practical Guidance,45-54,0.104
2024-11-01,CL,Practical Guidance,55-64,0.025
2024-11-01,CL,Practical Guidance,65+,0.029
2024-11-01,CL,Seeking information,18-24,0.312
2024-11-01,CL,Seeking information,25-34,0.394
2024-11-01,CL,Seeking information,35-44,0.155
2024-11-01,CL,Seeking information,45-54,0.061
2024-11-01,CL,Seeking information,55-64,0.073
2024-11-01,CL,Seeking information,65+,0.005
2024-11-01,CL,Writing,18-24,0.319
2024-11-01,CL,Writing,25-34,0.366
2024-11-01,CL,Writing,35-44,0.162
2024-11-01,CL,Writing,45-54,0.094
2024-11-01,CL,Writing,55-64,0.019
2024-11-01,CL,Writing,65+,0.039
2024-11-01,CO,Practical Guidance,18-24,0.406
2024-11-01,CO,Practical Guidance,25-34,0.405
2024-11-01,CO,Practical Guidance,35-44,0.105
2024-11-01,CO,Practical Guidance,45-54,0.050
2024-11-01,CO,Practical Guidance,55-64,0.020
2024-11-01,CO,Practical Guidance,65+,0.013
2024-11-01,CO,Seeking information,18-24,0.385
2024-11-01,CO,Seeking information,25-34,0.363
2024-11-01,CO,Seeking information,35-44,0.161
2024-11-01,CO,Seeking information,45-54,0.061
2024-11-01,CO,Seeking information,55-64,0.031
2024-11-01,CO,Seeking information,65+,0.000
2024-11-01,CO,Technical help,18-24,0.413
2024-11-01,CO,Technical help,25-34,0.363
2024-11-01,CO,Technical help,35-44,0.126
2024-11-01,CO,Technical help,45-54,0.048
2024-11-01,CO,Technical help,55-64,0.051
2024-11-01,CO,Technical help,65+,0.000
2024-11-01,CO,Writing,18-24,0.278
2024-11-01,CO,Writing,25-34,0.415
2024-11-01,CO,Writing,35-44,0.175
2024-11-01,CO,Writing,45-54,0.096
2024-11-01,CO,Writing,55-64,0.022
2024-11-01,CO,Writing,65+,0.014
2024-11-01,CZ,Practical Guidance,18-24,0.369
2024-11-01,CZ,Practical Guidance,25-34,0.445
2024-11-01,CZ,Practical Guidance,35-44,0.114
2024-11-01,CZ,Practical Guidance,45-54,0.073
2024-11-01,CZ,Practical Guidance,55-64,0.000
2024-11-01,CZ,Practical Guidance,65+,0.000
2024-11-01,CZ,Seeking information,18-24,0.277
2024-11-01,CZ,Seeking information,25-34,0.417
2024-11-01,CZ,Seeking information,35-44,0.243
2024-11-01,CZ,Seeking information,45-54,0.027
2024-11-01,CZ,Seeking information,55-64,0.036
2024-11-01,CZ,Seeking information,65+,0.000
2024-11-01,CZ,Writing,18-24,0.313
2024-11-01,CZ,Writing,25-34,0.359
2024-11-01,CZ,Writing,35-44,0.162
2024-11-01,CZ,Writing,45-54,0.083
2024-11-01,CZ,Writing,55-64,0.073
2024-11-01,CZ,Writing,65+,0.010
2024-11-01,DE,Multimedia,18-24,0.307
2024-11-01,DE,Multimedia,25-34,0.357
2024-11-01,DE,Multimedia,35-44,0.169
2024-11-01,DE,Multimedia,45-54,0.107
2024-11-01,DE,Multimedia,55-64,0.030
2024-11-01,DE,Multimedia,65+,0.030
2024-11-01,DE,Other/Unknown,18-24,0.234
2024-11-01,DE,Other/Unknown,25-34,0.371
2024-11-01,DE,Other/Unknown,35-44,0.219
2024-11-01,DE,Other/Unknown,45-54,0.109
2024-11-01,DE,Other/Unknown,55-64,0.066
2024-11-01,DE,Other/Unknown,65+,0.000
2024-11-01,DE,Practical Guidance,18-24,0.342
2024-11-01,DE,Practical Guidance,25-34,0.399
2024-11-01,DE,Practical Guidance,35-44,0.165
2024-11-01,DE,Practical Guidance,45-54,0.057
2024-11-01,DE,Practical Guidance,55-64,0.025
2024-11-01,DE,Practical Guidance,65+,0.012
2024-11-01,DE,Seeking information,18-24,0.263
2024-11-01,DE,Seeking information,25-34,0.408
2024-11-01,DE,Seeking information,35-44,0.175
2024-11-01,DE,Seeking information,45-54,0.090
2024-11-01,DE,Seeking information,55-64,0.036
2024-11-01,DE,Seeking information,65+,0.028
2024-11-01,DE,Self-expression,18-24,0.268
2024-11-01,DE,Self-expression,25-34,0.405
2024-11-01,DE,Self-expression,35-44,0.215
2024-11-01,DE,Self-expression,45-54,0.043
2024-11-01,DE,Self-expression,55-64,0.028
2024-11-01,DE,Self-expression,65+,0.042
2024-11-01,DE,Technical help,18-24,0.309
2024-11-01,DE,Technical help,25-34,0.424
2024-11-01,DE,Technical help,35-44,0.195
2024-11-01,DE,Technical help,45-54,0.057
2024-11-01,DE,Technical help,55-64,0.010
2024-11-01,DE,Technical help,65+,0.005
2024-11-01,DE,Writing,18-24,0.230
2024-11-01,DE,Writing,25-34,0.421
2024-11-01,DE,Writing,35-44,0.209
2024-11-01,DE,Writing,45-54,0.097
2024-11-01,DE,Writing,55-64,0.033
2024-11-01,DE,Writing,65+,0.009
2024-11-01,DK,Writing,18-24,0.306
2024-11-01,DK,Writing,25-34,0.391
2024-11-01,DK,Writing,35-44,0.153
2024-11-01,DK,Writing,45-54,0.151
2024-11-01,DK,Writing,55-64,0.000
2024-11-01,DK,Writing,65+,0.000
2024-11-01,DO,Practical Guidance,18-24,0.461
2024-11-01,DO,Practical Guidance,25-34,0.361
2024-11-01,DO,Practical Guidance,35-44,0.098
2024-11-01,DO,Practical Guidance,45-54,0.037
2024-11-01,DO,Practical Guidance,55-64,0.002
2024-11-01,DO,Practical Guidance,65+,0.041
2024-11-01,DO,Writing,18-24,0.487
2024-11-01,DO,Writing,25-34,0.337
2024-11-01,DO,Writing,35-44,0.094
2024-11-01,DO,Writing,45-54,0.000
2024-11-01,DO,Writing,55-64,0.039
2024-11-01,DO,Writing,65+,0.044
2024-11-01,DZ,Practical Guidance,18-24,0.510
2024-11-01,DZ,Practical Guidance,25-34,0.293
2024-11-01,DZ,Practical Guidance,35-44,0.104
2024-11-01,DZ,Practical Guidance,45-54,0.065
2024-11-01,DZ,Practical Guidance,55-64,0.013
2024-11-01,DZ,Practical Guidance,65+,0.014
2024-11-01,DZ,Seeking information,18-24,0.565
2024-11-01,DZ,Seeking information,25-34,0.264
2024-11-01,DZ,Seeking information,35-44,0.110
2024-11-01,DZ,Seeking information,45-54,0.062
2024-11-01,DZ,Seeking information,55-64,0.000
2024-11-01,DZ,Seeking information,65+,0.000
2024-11-01,DZ,Self-expression,18-24,0.401
2024-11-01,DZ,Self-expression,25-34,0.318
2024-11-01,DZ,Self-expression,35-44,0.103
2024-11-01,DZ,Self-expression,45-54,0.059
2024-11-01,DZ,Self-expression,55-64,0.030
2024-11-01,DZ,Self-expression,65+,0.089
2024-11-01,DZ,Writing,18-24,0.504
2024-11-01,DZ,Writing,25-34,0.300
2024-11-01,DZ,Writing,35-44,0.124
2024-11-01,DZ,Writing,45-54,0.039
2024-11-01,DZ,Writing,55-64,0.015
2024-11-01,DZ,Writing,65+,0.019
2024-11-01,EC,Practical Guidance,18-24,0.474
2024-11-01,EC,Practical Guidance,25-34,0.257
2024-11-01,EC,Practical Guidance,35-44,0.147
2024-11-01,EC,Practical Guidance,45-54,0.060
2024-11-01,EC,Practical Guidance,55-64,0.028
2024-11-01,EC,Practical Guidance,65+,0.033
2024-11-01,EC,Seeking information,18-24,0.381
2024-11-01,EC,Seeking information,25-34,0.365
2024-11-01,EC,Seeking information,35-44,0.111
2024-11-01,EC,Seeking information,45-54,0.023
2024-11-01,EC,Seeking information,55-64,0.035
2024-11-01,EC,Seeking information,65+,0.085
2024-11-01,EC,Writing,18-24,0.379
2024-11-01,EC,Writing,25-34,0.393
2024-11-01,EC,Writing,35-44,0.148
2024-11-01,EC,Writing,45-54,0.065
2024-11-01,EC,Writing,55-64,0.015
2024-11-01,EC,Writing,65+,0.000
2024-11-01,EG,Multimedia,18-24,0.533
2024-11-01,EG,Multimedia,25-34,0.283
2024-11-01,EG,Multimedia,35-44,0.048
2024-11-01,EG,Multimedia,45-54,0.039
2024-11-01,EG,Multimedia,55-64,0.000
2024-11-01,EG,Multimedia,65+,0.097
2024-11-01,EG,Other/Unknown,18-24,0.568
2024-11-01,EG,Other/Unknown,25-34,0.250
2024-11-01,EG,Other/Unknown,35-44,0.104
2024-11-01,EG,Other/Unknown,45-54,0.041
2024-11-01,EG,Other/Unknown,55-64,0.011
2024-11-01,EG,Other/Unknown,65+,0.026
2024-11-01,EG,Practical Guidance,18-24,0.603
2024-11-01,EG,Practical Guidance,25-34,0.256
2024-11-01,EG,Practical Guidance,35-44,0.077
2024-11-01,EG,Practical Guidance,45-54,0.038
2024-11-01,EG,Practical Guidance,55-64,0.005
2024-11-01,EG,Practical Guidance,65+,0.020
2024-11-01,EG,Seeking information,18-24,0.538
2024-11-01,EG,Seeking information,25-34,0.311
2024-11-01,EG,Seeking information,35-44,0.096
2024-11-01,EG,Seeking information,45-54,0.025
2024-11-01,EG,Seeking information,55-64,0.010
2024-11-01,EG,Seeking information,65+,0.019
2024-11-01,EG,Self-expression,18-24,0.629
2024-11-01,EG,Self-expression,25-34,0.249
2024-11-01,EG,Self-expression,35-44,0.055
2024-11-01,EG,Self-expression,45-54,0.034
2024-11-01,EG,Self-expression,55-64,0.011
2024-11-01,EG,Self-expression,65+,0.022
2024-11-01,EG,Technical help,18-24,0.513
2024-11-01,EG,Technical help,25-34,0.389
2024-11-01,EG,Technical help,35-44,0.042
2024-11-01,EG,Technical help,45-54,0.008
2024-11-01,EG,Technical help,55-64,0.009
2024-11-01,EG,Technical help,65+,0.040
2024-11-01,EG,Writing,18-24,0.516
2024-11-01,EG,Writing,25-34,0.310
2024-11-01,EG,Writing,35-44,0.107
2024-11-01,EG,Writing,45-54,0.040
2024-11-01,EG,Writing,55-64,0.002
2024-11-01,EG,Writing,65+,0.024
2024-11-01,ES,Multimedia,18-24,0.260
2024-11-01,ES,Multimedia,25-34,0.369
2024-11-01,ES,Multimedia,35-44,0.137
2024-11-01,ES,Multimedia,45-54,0.135
2024-11-01,ES,Multimedia,55-64,0.086
2024-11-01,ES,Multimedia,65+,0.013
2024-11-01,ES,Other/Unknown,18-24,0.349
2024-11-01,ES,Other/Unknown,25-34,0.287
2024-11-01,ES,Other/Unknown,35-44,0.187
2024-11-01,ES,Other/Unknown,45-54,0.060
2024-11-01,ES,Other/Unknown,55-64,0.070
2024-11-01,ES,Other/Unknown,65+,0.047
2024-11-01,ES,Practical Guidance,18-24,0.405
2024-11-01,ES,Practical Guidance,25-34,0.344
2024-11-01,ES,Practical Guidance,35-44,0.128
2024-11-01,ES,Practical Guidance,45-54,0.077
2024-11-01,ES,Practical Guidance,55-64,0.031
2024-11-01,ES,Practical Guidance,65+,0.016
2024-11-01,ES,Seeking information,18-24,0.310
2024-11-01,ES,Seeking information,25-34,0.353
2024-11-01,ES,Seeking information,35-44,0.153
2024-11-01,ES,Seeking information,45-54,0.110
2024-11-01,ES,Seeking information,55-64,0.049
2024-11-01,ES,Seeking information,65+,0.024
2024-11-01,ES,Self-expression,18-24,0.290
2024-11-01,ES,Self-expression,25-34,0.390
2024-11-01,ES,Self-expression,35-44,0.194
2024-11-01,ES,Self-expression,45-54,0.067
2024-11-01,ES,Self-expression,55-64,0.059
2024-11-01,ES,Self-expression,65+,0.000
2024-11-01,ES,Technical help,18-24,0.273
2024-11-01,ES,Technical help,25-34,0.416
2024-11-01,ES,Technical help,35-44,0.149
2024-11-01,ES,Technical help,45-54,0.105
2024-11-01,ES,Technical help,55-64,0.042
2024-11-01,ES,Technical help,65+,0.015
2024-11-01,ES,Writing,18-24,0.314
2024-11-01,ES,Writing,25-34,0.359
2024-11-01,ES,Writing,35-44,0.171
2024-11-01,ES,Writing,45-54,0.114
2024-11-01,ES,Writing,55-64,0.022
2024-11-01,ES,Writing,65+,0.020
2024-11-01,FI,Writing,18-24,0.271
2024-11-01,FI,Writing,25-34,0.404
2024-11-01,FI,Writing,35-44,0.195
2024-11-01,FI,Writing,45-54,0.077
2024-11-01,FI,Writing,55-64,0.053
2024-11-01,FI,Writing,65+,0.000
2024-11-01,FR,Multimedia,18-24,0.371
2024-11-01,FR,Multimedia,25-34,0.326
2024-11-01,FR,Multimedia,35-44,0.191
2024-11-01,FR,Multimedia,45-54,0.085
2024-11-01,FR,Multimedia,55-64,0.028
2024-11-01,FR,Multimedia,65+,0.000
2024-11-01,FR,Other/Unknown,18-24,0.308
2024-11-01,FR,Other/Unknown,25-34,0.318
2024-11-01,FR,Other/Unknown,35-44,0.170
2024-11-01,FR,Other/Unknown,45-54,0.105
2024-11-01,FR,Other/Unknown,55-64,0.047
2024-11-01,FR,Other/Unknown,65+,0.052
2024-11-01,FR,Practical Guidance,18-24,0.392
2024-11-01,FR,Practical Guidance,25-34,0.364
2024-11-01,FR,Practical Guidance,35-44,0.131
2024-11-01,FR,Practical Guidance,45-54,0.076
2024-11-01,FR,Practical Guidance,55-64,0.023
2024-11-01,FR,Practical Guidance,65+,0.014
2024-11-01,FR,Seeking information,18-24,0.320
2024-11-01,FR,Seeking information,25-34,0.387
2024-11-01,FR,Seeking information,35-44,0.154
2024-11-01,FR,Seeking information,45-54,0.096
2024-11-01,FR,Seeking information,55-64,0.022
2024-11-01,FR,Seeking information,65+,0.020
2024-11-01,FR,Self-expression,18-24,0.308
2024-11-01,FR,Self-expression,25-34,0.376
2024-11-01,FR,Self-expression,35-44,0.188
2024-11-01,FR,Self-expression,45-54,0.072
2024-11-01,FR,Self-expression,55-64,0.039
2024-11-01,FR,Self-expression,65+,0.018
2024-11-01,FR,Technical help,18-24,0.343
2024-11-01,FR,Technical help,25-34,0.424
2024-11-01,FR,Technical help,35-44,0.121
2024-11-01,FR,Technical help,45-54,0.075
2024-11-01,FR,Technical help,55-64,0.022
2024-11-01,FR,Technical help,65+,0.014
2024-11-01,FR,Writing,18-24,0.314
2024-11-01,FR,Writing,25-34,0.405
2024-11-01,FR,Writing,35-44,0.146
2024-11-01,FR,Writing,45-54,0.088
2024-11-01,FR,Writing,55-64,0.029
2024-11-01,FR,Writing,65+,0.017
2024-11-01,GB,Multimedia,18-24,0.201
2024-11-01,GB,Multimedia,25-34,0.376
2024-11-01,GB,Multimedia,35-44,0.290
2024-11-01,GB,Multimedia,45-54,0.089
2024-11-01,GB,Multimedia,55-64,0.006
2024-11-01,GB,Multimedia,65+,0.038
2024-11-01,GB,Other/Unknown,18-24,0.302
2024-11-01,GB,Other/Unknown,25-34,0.351
2024-11-01,GB,Other/Unknown,35-44,0.177
2024-11-01,GB,Other/Unknown,45-54,0.081
2024-11-01,GB,Other/Unknown,55-64,0.043
2024-11-01,GB,Other/Unknown,65+,0.046
2024-11-01,GB,Practical Guidance,18-24,0.340
2024-11-01,GB,Practical Guidance,25-34,0.377
2024-11-01,GB,Practical Guidance,35-44,0.161
2024-11-01,GB,Practical Guidance,45-54,0.082
2024-11-01,GB,Practical Guidance,55-64,0.032
2024-11-01,GB,Practical Guidance,65+,0.008
2024-11-01,GB,Seeking information,18-24,0.292
2024-11-01,GB,Seeking information,25-34,0.372
2024-11-01,GB,Seeking information,35-44,0.203
2024-11-01,GB,Seeking information,45-54,0.079
2024-11-01,GB,Seeking information,55-64,0.043
2024-11-01,GB,Seeking information,65+,0.011
2024-11-01,GB,Self-expression,18-24,0.329
2024-11-01,GB,Self-expression,25-34,0.414
2024-11-01,GB,Self-expression,35-44,0.138
2024-11-01,GB,Self-expression,45-54,0.077
2024-11-01,GB,Self-expression,55-64,0.042
2024-11-01,GB,Self-expression,65+,0.000
2024-11-01,GB,Technical help,18-24,0.279
2024-11-01,GB,Technical help,25-34,0.393
2024-11-01,GB,Technical help,35-44,0.184
2024-11-01,GB,Technical help,45-54,0.102
2024-11-01,GB,Technical help,55-64,0.016
2024-11-01,GB,Technical help,65+,0.027
2024-11-01,GB,Writing,18-24,0.229
2024-11-01,GB,Writing,25-34,0.396
2024-11-01,GB,Writing,35-44,0.214
2024-11-01,GB,Writing,45-54,0.119
2024-11-01,GB,Writing,55-64,0.033
2024-11-01,GB,Writing,65+,0.008
2024-11-01,GR,Practical Guidance,18-24,0.358
2024-11-01,GR,Practical Guidance,25-34,0.345
2024-11-01,GR,Practical Guidance,35-44,0.202
2024-11-01,GR,Practical Guidance,45-54,0.018
2024-11-01,GR,Practical Guidance,55-64,0.023
2024-11-01,GR,Practical Guidance,65+,0.053
2024-11-01,HU,Writing,18-24,0.265
2024-11-01,HU,Writing,25-34,0.262
2024-11-01,HU,Writing,35-44,0.228
2024-11-01,HU,Writing,45-54,0.126
2024-11-01,HU,Writing,55-64,0.043
2024-11-01,HU,Writing,65+,0.075
2024-11-01,ID,Multimedia,18-24,0.505
2024-11-01,ID,Multimedia,25-34,0.292
2024-11-01,ID,Multimedia,35-44,0.156
2024-11-01,ID,Multimedia,45-54,0.041
2024-11-01,ID,Multimedia,55-64,0.006
2024-11-01,ID,Multimedia,65+,0.000
2024-11-01,ID,Other/Unknown,18-24,0.469
2024-11-01,ID,Other/Unknown,25-34,0.361
2024-11-01,ID,Other/Unknown,35-44,0.072
2024-11-01,ID,Other/Unknown,45-54,0.065
2024-11-01,ID,Other/Unknown,55-64,0.000
2024-11-01,ID,Other/Unknown,65+,0.033
