month,country,topic,age_group,share_of_messages
2024-07-01,CA,Practical Guidance,45-54,0.081
2024-07-01,CA,Practical Guidance,55-64,0.015
2024-07-01,CA,Practical Guidance,65+,0.014
2024-07-01,CA,Seeking information,18-24,0.276
2024-07-01,CA,Seeking information,25-34,0.368
2024-07-01,CA,Seeking information,35-44,0.218
2024-07-01,CA,Seeking information,45-54,0.078
2024-07-01,CA,Seeking information,55-64,0.029
2024-07-01,CA,Seeking information,65+,0.031
2024-07-01,CA,Technical help,18-24,0.291
2024-07-01,CA,Technical help,25-34,0.420
2024-07-01,CA,Technical help,35-44,0.166
2024-07-01,CA,Technical help,45-54,0.091
2024-07-01,CA,Technical help,55-64,0.026
2024-07-01,CA,Technical help,65+,0.005
2024-07-01,CA,Writing,18-24,0.177
2024-07-01,CA,Writing,25-34,0.399
2024-07-01,CA,Writing,35-44,0.257
2024-07-01,CA,Writing,45-54,0.129
2024-07-01,CA,Writing,55-64,0.030
2024-07-01,CA,Writing,65+,0.008
2024-07-01,CH,Writing,18-24,0.085
2024-07-01,CH,Writing,25-34,0.464
2024-07-01,CH,Writing,35-44,0.276
2024-07-01,CH,Writing,45-54,0.092
2024-07-01,CH,Writing,55-64,0.063
2024-07-01,CH,Writing,65+,0.020
2024-07-01,CL,Practical Guidance,18-24,0.241
2024-07-01,CL,Practical Guidance,25-34,0.439
2024-07-01,CL,Practical Guidance,35-44,0.271
2024-07-01,CL,Practical Guidance,45-54,0.027
2024-07-01,CL,Practical Guidance,55-64,0.000
2024-07-01,CL,Practical Guidance,65+,0.022
2024-07-01,CL,Technical help,18-24,0.186
2024-07-01,CL,Technical help,25-34,0.414
2024-07-01,CL,Technical help,35-44,0.271
2024-07-01,CL,Technical help,45-54,0.100
2024-07-01,CL,Technical help,55-64,0.027
2024-07-01,CL,Technical help,65+,0.002
2024-07-01,CL,Writing,18-24,0.189
2024-07-01,CL,Writing,25-34,0.416
2024-07-01,CL,Writing,35-44,0.254
2024-07-01,CL,Writing,45-54,0.100
2024-07-01,CL,Writing,55-64,0.008
2024-07-01,CL,Writing,65+,0.033
2024-07-01,CO,Practical Guidance,18-24,0.277
2024-07-01,CO,Practical Guidance,25-34,0.450
2024-07-01,CO,Practical Guidance,35-44,0.181
2024-07-01,CO,Practical Guidance,45-54,0.083
2024-07-01,CO,Practical Guidance,55-64,0.008
2024-07-01,CO,Practical Guidance,65+,0.001
2024-07-01,CO,Seeking information,18-24,0.210
2024-07-01,CO,Seeking information,25-34,0.457
2024-07-01,CO,Seeking information,35-44,0.206
2024-07-01,CO,Seeking information,45-54,0.083
2024-07-01,CO,Seeking information,55-64,0.041
2024-07-01,CO,Seeking information,65+,0.004
2024-07-01,CO,Technical help,18-24,0.210
2024-07-01,CO,Technical help,25-34,0.500
2024-07-01,CO,Technical help,35-44,0.190
2024-07-01,CO,Technical help,45-54,0.063
2024-07-01,CO,Technical help,55-64,0.031
2024-07-01,CO,Technical help,65+,0.006
2024-07-01,CO,Writing,18-24,0.257
2024-07-01,CO,Writing,25-34,0.450
2024-07-01,CO,Writing,35-44,0.174
2024-07-01,CO,Writing,45-54,0.097
2024-07-01,CO,Writing,55-64,0.019
2024-07-01,CO,Writing,65+,0.002
2024-07-01,DE,Multimedia,18-24,0.186
2024-07-01,DE,Multimedia,25-34,0.338
2024-07-01,DE,Multimedia,35-44,0.251
2024-07-01,DE,Multimedia,45-54,0.135
2024-07-01,DE,Multimedia,55-64,0.073
2024-07-01,DE,Multimedia,65+,0.017
2024-07-01,DE,Practical Guidance,18-24,0.267
2024-07-01,DE,Practical Guidance,25-34,0.466
2024-07-01,DE,Practical Guidance,35-44,0.176
2024-07-01,DE,Practical Guidance,45-54,0.066
2024-07-01,DE,Practical Guidance,55-64,0.022
2024-07-01,DE,Practical Guidance,65+,0.003
2024-07-01,DE,Seeking information,18-24,0.234
2024-07-01,DE,Seeking information,25-34,0.477
2024-07-01,DE,Seeking information,35-44,0.184
2024-07-01,DE,Seeking information,45-54,0.066
2024-07-01,DE,Seeking information,55-64,0.028
2024-07-01,DE,Seeking information,65+,0.012
2024-07-01,DE,Technical help,18-24,0.219
2024-07-01,DE,Technical help,25-34,0.486
2024-07-01,DE,Technical help,35-44,0.210
2024-07-01,DE,Technical help,45-54,0.048
2024-07-01,DE,Technical help,55-64,0.011
2024-07-01,DE,Technical help,65+,0.026
2024-07-01,DE,Writing,18-24,0.169
2024-07-01,DE,Writing,25-34,0.469
2024-07-01,DE,Writing,35-44,0.207
2024-07-01,DE,Writing,45-54,0.103
2024-07-01,DE,Writing,55-64,0.040
2024-07-01,DE,Writing,65+,0.012
2024-07-01,EC,Practical Guidance,18-24,0.431
2024-07-01,EC,Practical Guidance,25-34,0.393
2024-07-01,EC,Practical Guidance,35-44,0.071
2024-07-01,EC,Practical Guidance,45-54,0.071
2024-07-01,EC,Practical Guidance,55-64,0.009
2024-07-01,EC,Practical Guidance,65+,0.025
2024-07-01,EC,Seeking information,18-24,0.427
2024-07-01,EC,Seeking information,25-34,0.366
2024-07-01,EC,Seeking information,35-44,0.119
2024-07-01,EC,Seeking information,45-54,0.040
2024-07-01,EC,Seeking information,55-64,0.026
2024-07-01,EC,Seeking information,65+,0.021
2024-07-01,EC,Technical help,18-24,0.433
2024-07-01,EC,Technical help,25-34,0.407
2024-07-01,EC,Technical help,35-44,0.082
2024-07-01,EC,Technical help,45-54,0.029
2024-07-01,EC,Technical help,55-64,0.000
2024-07-01,EC,Technical help,65+,0.049
2024-07-01,EC,Writing,18-24,0.398
2024-07-01,EC,Writing,25-34,0.360
2024-07-01,EC,Writing,35-44,0.114
2024-07-01,EC,Writing,45-54,0.077
2024-07-01,EC,Writing,55-64,0.051
2024-07-01,EC,Writing,65+,0.000
2024-07-01,EG,Practical Guidance,18-24,0.431
2024-07-01,EG,Practical Guidance,25-34,0.385
2024-07-01,EG,Practical Guidance,35-44,0.091
2024-07-01,EG,Practical Guidance,45-54,0.047
2024-07-01,EG,Practical Guidance,55-64,0.024
2024-07-01,EG,Practical Guidance,65+,0.022
2024-07-01,EG,Seeking information,18-24,0.292
2024-07-01,EG,Seeking information,25-34,0.530
2024-07-01,EG,Seeking information,35-44,0.162
2024-07-01,EG,Seeking information,45-54,0.004
2024-07-01,EG,Seeking information,55-64,0.012
2024-07-01,EG,Seeking information,65+,0.000
2024-07-01,EG,Technical help,18-24,0.335
2024-07-01,EG,Technical help,25-34,0.568
2024-07-01,EG,Technical help,35-44,0.075
2024-07-01,EG,Technical help,45-54,0.022
2024-07-01,EG,Technical help,55-64,0.000
2024-07-01,EG,Technical help,65+,0.000
2024-07-01,EG,Writing,18-24,0.212
2024-07-01,EG,Writing,25-34,0.505
2024-07-01,EG,Writing,35-44,0.219
2024-07-01,EG,Writing,45-54,0.062
2024-07-01,EG,Writing,55-64,0.002
2024-07-01,EG,Writing,65+,0.000
2024-07-01,ES,Practical Guidance,18-24,0.172
2024-07-01,ES,Practical Guidance,25-34,0.435
2024-07-01,ES,Practical Guidance,35-44,0.220
2024-07-01,ES,Practical Guidance,45-54,0.121
2024-07-01,ES,Practical Guidance,55-64,0.052
2024-07-01,ES,Practical Guidance,65+,0.000
2024-07-01,ES,Seeking information,18-24,0.147
2024-07-01,ES,Seeking information,25-34,0.419
2024-07-01,ES,Seeking information,35-44,0.222
2024-07-01,ES,Seeking information,45-54,0.120
2024-07-01,ES,Seeking information,55-64,0.074
2024-07-01,ES,Seeking information,65+,0.019
2024-07-01,ES,Technical help,18-24,0.130
2024-07-01,ES,Technical help,25-34,0.459
2024-07-01,ES,Technical help,35-44,0.227
2024-07-01,ES,Technical help,45-54,0.142
2024-07-01,ES,Technical help,55-64,0.028
2024-07-01,ES,Technical help,65+,0.014
2024-07-01,ES,Writing,18-24,0.132
2024-07-01,ES,Writing,25-34,0.400
2024-07-01,ES,Writing,35-44,0.242
2024-07-01,ES,Writing,45-54,0.168
2024-07-01,ES,Writing,55-64,0.054
2024-07-01,ES,Writing,65+,0.005
2024-07-01,FR,Practical Guidance,18-24,0.248
2024-07-01,FR,Practical Guidance,25-34,0.438
2024-07-01,FR,Practical Guidance,35-44,0.196
2024-07-01,FR,Practical Guidance,45-54,0.076
2024-07-01,FR,Practical Guidance,55-64,0.026
2024-07-01,FR,Practical Guidance,65+,0.016
2024-07-01,FR,Seeking information,18-24,0.245
2024-07-01,FR,Seeking information,25-34,0.396
2024-07-01,FR,Seeking information,35-44,0.173
2024-07-01,FR,Seeking information,45-54,0.117
2024-07-01,FR,Seeking information,55-64,0.046
2024-07-01,FR,Seeking information,65+,0.023
2024-07-01,FR,Technical help,18-24,0.239
2024-07-01,FR,Technical help,25-34,0.491
2024-07-01,FR,Technical help,35-44,0.183
2024-07-01,FR,Technical help,45-54,0.064
2024-07-01,FR,Technical help,55-64,0.014
2024-07-01,FR,Technical help,65+,0.009
2024-07-01,FR,Writing,18-24,0.207
2024-07-01,FR,Writing,25-34,0.463
2024-07-01,FR,Writing,35-44,0.178
2024-07-01,FR,Writing,45-54,0.113
2024-07-01,FR,Writing,55-64,0.030
2024-07-01,FR,Writing,65+,0.008
2024-07-01,GB,Practical Guidance,18-24,0.162
2024-07-01,GB,Practical Guidance,25-34,0.421
2024-07-01,GB,Practical Guidance,35-44,0.240
2024-07-01,GB,Practical Guidance,45-54,0.121
2024-07-01,GB,Practical Guidance,55-64,0.030
2024-07-01,GB,Practical Guidance,65+,0.026
2024-07-01,GB,Seeking information,18-24,0.200
2024-07-01,GB,Seeking information,25-34,0.424
2024-07-01,GB,Seeking information,35-44,0.204
2024-07-01,GB,Seeking information,45-54,0.102
2024-07-01,GB,Seeking information,55-64,0.065
2024-07-01,GB,Seeking information,65+,0.005
2024-07-01,GB,Technical help,18-24,0.167
2024-07-01,GB,Technical help,25-34,0.454
2024-07-01,GB,Technical help,35-44,0.244
2024-07-01,GB,Technical help,45-54,0.106
2024-07-01,GB,Technical help,55-64,0.017
2024-07-01,GB,Technical help,65+,0.012
2024-07-01,GB,Writing,18-24,0.129
2024-07-01,GB,Writing,25-34,0.461
2024-07-01,GB,Writing,35-44,0.235
2024-07-01,GB,Writing,45-54,0.129
2024-07-01,GB,Writing,55-64,0.028
2024-07-01,GB,Writing,65+,0.018
2024-07-01,GR,Writing,18-24,0.150
2024-07-01,GR,Writing,25-34,0.440
2024-07-01,GR,Writing,35-44,0.146
2024-07-01,GR,Writing,45-54,0.156
2024-07-01,GR,Writing,55-64,0.071
2024-07-01,GR,Writing,65+,0.037
2024-07-01,ID,Practical Guidance,18-24,0.469
2024-07-01,ID,Practical Guidance,25-34,0.385
2024-07-01,ID,Practical Guidance,35-44,0.094
2024-07-01,ID,Practical Guidance,45-54,0.034
2024-07-01,ID,Practical Guidance,55-64,0.009
2024-07-01,ID,Practical Guidance,65+,0.009
2024-07-01,ID,Seeking information,18-24,0.475
2024-07-01,ID,Seeking information,25-34,0.370
2024-07-01,ID,Seeking information,35-44,0.101
2024-07-01,ID,Seeking information,45-54,0.028
2024-07-01,ID,Seeking information,55-64,0.013
2024-07-01,ID,Seeking information,65+,0.013
2024-07-01,ID,Technical help,18-24,0.421
2024-07-01,ID,Technical help,25-34,0.423
2024-07-01,ID,Technical help,35-44,0.123
2024-07-01,ID,Technical help,45-54,0.032
2024-07-01,ID,Technical help,55-64,0.000
2024-07-01,ID,Technical help,65+,0.000
2024-07-01,ID,Writing,18-24,0.394
2024-07-01,ID,Writing,25-34,0.431
2024-07-01,ID,Writing,35-44,0.128
2024-07-01,ID,Writing,45-54,0.045
2024-07-01,ID,Writing,55-64,0.000
2024-07-01,ID,Writing,65+,0.002
2024-07-01,IE,Writing,18-24,0.178
2024-07-01,IE,Writing,25-34,0.434
2024-07-01,IE,Writing,35-44,0.246
2024-07-01,IE,Writing,45-54,0.077
2024-07-01,IE,Writing,55-64,0.008
2024-07-01,IE,Writing,65+,0.057
2024-07-01,IL,Practical Guidance,18-24,0.232
2024-07-01,IL,Practical Guidance,25-34,0.422
2024-07-01,IL,Practical Guidance,35-44,0.189
2024-07-01,IL,Practical Guidance,45-54,0.050
2024-07-01,IL,Practical Guidance,55-64,0.069
2024-07-01,IL,Practical Guidance,65+,0.038
2024-07-01,IL,Technical help,18-24,0.153
2024-07-01,IL,Technical help,25-34,0.515
2024-07-01,IL,Technical help,35-44,0.208
2024-07-01,IL,Technical help,45-54,0.102
2024-07-01,IL,Technical help,55-64,0.000
2024-07-01,IL,Technical help,65+,0.022
2024-07-01,IL,Writing,18-24,0.199
2024-07-01,IL,Writing,25-34,0.478
2024-07-01,IL,Writing,35-44,0.188
2024-07-01,IL,Writing,45-54,0.071
2024-07-01,IL,Writing,55-64,0.028
2024-07-01,IL,Writing,65+,0.036
2024-07-01,IN,Multimedia,18-24,0.336
2024-07-01,IN,Multimedia,25-34,0.393
2024-07-01,IN,Multimedia,35-44,0.143
2024-07-01,IN,Multimedia,45-54,0.122
2024-07-01,IN,Multimedia,55-64,0.007
2024-07-01,IN,Multimedia,65+,0.000
2024-07-01,IN,Other/Unknown,18-24,0.373
2024-07-01,IN,Other/Unknown,25-34,0.409
2024-07-01,IN,Other/Unknown,35-44,0.156
2024-07-01,IN,Other/Unknown,45-54,0.049
2024-07-01,IN,Other/Unknown,55-64,0.008
2024-07-01,IN,Other/Unknown,65+,0.003
2024-07-01,IN,Practical Guidance,18-24,0.421
2024-07-01,IN,Practical Guidance,25-34,0.418
2024-07-01,IN,Practical Guidance,35-44,0.117
2024-07-01,IN,Practical Guidance,45-54,0.030
2024-07-01,IN,Practical Guidance,55-64,0.011
2024-07-01,IN,Practical Guidance,65+,0.003
2024-07-01,IN,Seeking information,18-24,0.419
2024-07-01,IN,Seeking information,25-34,0.424
2024-07-01,IN,Seeking information,35-44,0.112
2024-07-01,IN,Seeking information,45-54,0.038
2024-07-01,IN,Seeking information,55-64,0.005
2024-07-01,IN,Seeking information,65+,0.002
2024-07-01,IN,Self-expression,18-24,0.468
2024-07-01,IN,Self-expression,25-34,0.370
2024-07-01,IN,Self-expression,35-44,0.087
2024-07-01,IN,Self-expression,45-54,0.050
2024-07-01,IN,Self-expression,55-64,0.025
2024-07-01,IN,Self-expression,65+,0.000
2024-07-01,IN,Technical help,18-24,0.425
2024-07-01,IN,Technical help,25-34,0.461
2024-07-01,IN,Technical help,35-44,0.090
2024-07-01,IN,Technical help,45-54,0.019
2024-07-01,IN,Technical help,55-64,0.004
2024-07-01,IN,Technical help,65+,0.002
2024-07-01,IN,Writing,18-24,0.274
2024-07-01,IN,Writing,25-34,0.493
2024-07-01,IN,Writing,35-44,0.167
2024-07-01,IN,Writing,45-54,0.052
2024-07-01,IN,Writing,55-64,0.010
2024-07-01,IN,Writing,65+,0.005
2024-07-01,IT,Practical Guidance,18-24,0.282
2024-07-01,IT,Practical Guidance,25-34,0.406
2024-07-01,IT,Practical Guidance,35-44,0.138
2024-07-01,IT,Practical Guidance,45-54,0.110
2024-07-01,IT,Practical Guidance,55-64,0.044
2024-07-01,IT,Practical Guidance,65+,0.021
2024-07-01,IT,Seeking information,18-24,0.309
2024-07-01,IT,Seeking information,25-34,0.358
2024-07-01,IT,Seeking information,35-44,0.191
2024-07-01,IT,Seeking information,45-54,0.071
2024-07-01,IT,Seeking information,55-64,0.044
2024-07-01,IT,Seeking information,65+,0.027
2024-07-01,IT,Technical help,18-24,0.183
2024-07-01,IT,Technical help,25-34,0.399
2024-07-01,IT,Technical help,35-44,0.245
2024-07-01,IT,Technical help,45-54,0.093
2024-07-01,IT,Technical help,55-64,0.080
2024-07-01,IT,Technical help,65+,0.000
2024-07-01,IT,Writing,18-24,0.168
2024-07-01,IT,Writing,25-34,0.472
2024-07-01,IT,Writing,35-44,0.188
2024-07-01,IT,Writing,45-54,0.110
2024-07-01,IT,Writing,55-64,0.049
2024-07-01,IT,Writing,65+,0.012
2024-07-01,JP,Multimedia,18-24,0.072
2024-07-01,JP,Multimedia,25-34,0.265
2024-07-01,JP,Multimedia,35-44,0.226
2024-07-01,JP,Multimedia,45-54,0.294
2024-07-01,JP,Multimedia,55-64,0.057
2024-07-01,JP,Multimedia,65+,0.087
2024-07-01,JP,Practical Guidance,18-24,0.328
2024-07-01,JP,Practical Guidance,25-34,0.372
2024-07-01,JP,Practical Guidance,35-44,0.166
2024-07-01,JP,Practical Guidance,45-54,0.087
2024-07-01,JP,Practical Guidance,55-64,0.028
2024-07-01,JP,Practical Guidance,65+,0.019
2024-07-01,JP,Seeking information,18-24,0.318
2024-07-01,JP,Seeking information,25-34,0.268
2024-07-01,JP,Seeking information,35-44,0.186
2024-07-01,JP,Seeking information,45-54,0.169
2024-07-01,JP,Seeking information,55-64,0.047
2024-07-01,JP,Seeking information,65+,0.012
2024-07-01,JP,Self-expression,18-24,0.332
2024-07-01,JP,Self-expression,25-34,0.256
2024-07-01,JP,Self-expression,35-44,0.182
2024-07-01,JP,Self-expression,45-54,0.166
2024-07-01,JP,Self-expression,55-64,0.035
2024-07-01,JP,Self-expression,65+,0.029
2024-07-01,JP,Technical help,18-24,0.268
2024-07-01,JP,Technical help,25-34,0.463
2024-07-01,JP,Technical help,35-44,0.193
2024-07-01,JP,Technical help,45-54,0.063
2024-07-01,JP,Technical help,55-64,0.011
2024-07-01,JP,Technical help,65+,0.002
2024-07-01,JP,Writing,18-24,0.232
2024-07-01,JP,Writing,25-34,0.388
2024-07-01,JP,Writing,35-44,0.206
2024-07-01,JP,Writing,45-54,0.111
2024-07-01,JP,Writing,55-64,0.045
2024-07-01,JP,Writing,65+,0.018
2024-07-01,KE,Practical Guidance,18-24,0.378
2024-07-01,KE,Practical Guidance,25-34,0.405
2024-07-01,KE,Practical Guidance,35-44,0.163
2024-07-01,KE,Practical Guidance,45-54,0.044
2024-07-01,KE,Practical Guidance,55-64,0.011
2024-07-01,KE,Practical Guidance,65+,0.000
2024-07-01,KE,Writing,18-24,0.202
2024-07-01,KE,Writing,25-34,0.515
2024-07-01,KE,Writing,35-44,0.200
2024-07-01,KE,Writing,45-54,0.027
2024-07-01,KE,Writing,55-64,0.016
2024-07-01,KE,Writing,65+,0.039
2024-07-01,KR,Practical Guidance,18-24,0.207
2024-07-01,KR,Practical Guidance,25-34,0.429
2024-07-01,KR,Practical Guidance,35-44,0.220
2024-07-01,KR,Practical Guidance,45-54,0.100
2024-07-01,KR,Practical Guidance,55-64,0.037
2024-07-01,KR,Practical Guidance,65+,0.008
2024-07-01,KR,Seeking information,18-24,0.130
2024-07-01,KR,Seeking information,25-34,0.365
2024-07-01,KR,Seeking information,35-44,0.311
2024-07-01,KR,Seeking information,45-54,0.156
2024-07-01,KR,Seeking information,55-64,0.017
2024-07-01,KR,Seeking information,65+,0.021
2024-07-01,KR,Technical help,18-24,0.150
2024-07-01,KR,Technical help,25-34,0.527
2024-07-01,KR,Technical help,35-44,0.215
2024-07-01,KR,Technical help,45-54,0.071
2024-07-01,KR,Technical help,55-64,0.031
2024-07-01,KR,Technical help,65+,0.005
2024-07-01,KR,Writing,18-24,0.163
2024-07-01,KR,Writing,25-34,0.417
2024-07-01,KR,Writing,35-44,0.233
2024-07-01,KR,Writing,45-54,0.130
2024-07-01,KR,Writing,55-64,0.046
2024-07-01,KR,Writing,65+,0.011
2024-07-01,LK,Practical Guidance,18-24,0.432
2024-07-01,LK,Practical Guidance,25-34,0.521
2024-07-01,LK,Practical Guidance,35-44,0.026
2024-07-01,LK,Practical Guidance,45-54,0.001
2024-07-01,LK,Practical Guidance,55-64,0.009
2024-07-01,LK,Practical Guidance,65+,0.010
2024-07-01,LK,Writing,18-24,0.292
2024-07-01,LK,Writing,25-34,0.495
2024-07-01,LK,Writing,35-44,0.126
2024-07-01,LK,Writing,45-54,0.038
2024-07-01,LK,Writing,55-64,0.045
